bin_i	bin_j	mean_r2	n_pairs
1:19020001-19030000	1:20600001-20610000	0.00207881	1374
1:19860001-19870000	1:20370001-20380000	0.00312809	11020
1:18780001-18790000	1:20940001-20950000	0.00460595	95135
1:19840001-19850000	1:19970001-19980000	0.0172007	825
1:19720001-19730000	1:20270001-20280000	0.00444003	13065
1:19260001-19270000	1:19280001-19290000	0.0362618	225
1:20710001-20720000	1:21240001-21250000	0.0020289	4251
1:18640001-18650000	1:20840001-20850000	0.00231624	16463
1:18480001-18490000	1:19140001-19150000	0.0027628	25620
1:18970001-18980000	1:19110001-19120000	0.0123199	59584
1:18940001-18950000	1:20130001-20140000	0.00156281	14773
1:18060001-18070000	1:20150001-20160000	0.00273516	8428
1:18150001-18160000	1:20870001-20880000	0.00824349	24570
1:18690001-18700000	1:21030001-21040000	0.00253709	26880
1:19700001-19710000	1:19870001-19880000	0.0107434	37098
1:19120001-19130000	1:19180001-19190000	0.0377828	93513
1:17860001-17870000	1:20700001-20710000	0.00357678	24165
1:18340001-18350000	1:19040001-19050000	0.00135262	182
1:18430001-18440000	1:19760001-19770000	0.00171327	3825
1:18920001-18930000	1:19730001-19740000	0.00193057	14352
1:18800001-18810000	1:20030001-20040000	0.00364794	36062
1:18010001-18020000	1:20770001-20780000	0.00224635	4344
1:17720001-17730000	1:20600001-20610000	0.00162208	3144
1:17650001-17660000	1:19620001-19630000	0.00903818	4144
1:18020001-18030000	1:18800001-18810000	0.0241158	5548
1:19090001-19100000	1:19290001-19300000	0.00314689	8160
1:19980001-19990000	1:21110001-21120000	0.00208415	9261
1:17510001-17520000	1:19520001-19530000	0.00292573	34440
1:19600001-19610000	1:19990001-20000000	0.00137654	704
1:19840001-19850000	1:21010001-21020000	0.0031595	2670
1:19350001-19360000	1:21040001-21050000	0.00313835	74202
1:17690001-17700000	1:19230001-19240000	0.00152526	4576
1:19480001-19490000	1:20560001-20570000	0.00244058	246945
1:17970001-17980000	1:17990001-18000000	0.00324152	1104
1:17800001-17810000	1:18230001-18240000	0.00511782	14326
1:19340001-19350000	1:20460001-20470000	0.00470654	160952
1:18970001-18980000	1:21280001-21290000	0.00299461	149352
1:18980001-18990000	1:19310001-19320000	0.006358	91975
1:18070001-18080000	1:20350001-20360000	0.00234712	43680
1:18560001-18570000	1:20320001-20330000	0.00156724	15808
1:19130001-19140000	1:19380001-19390000	0.0174867	15045
1:17870001-17880000	1:20900001-20910000	0.00326656	5291
1:18840001-18850000	1:19210001-19220000	0.00199251	4240
1:18930001-18940000	1:19930001-19940000	0.00935235	6262
1:18050001-18060000	1:19950001-19960000	0.00975017	1008
1:18810001-18820000	1:20230001-20240000	0.00232779	63126
1:17560001-17570000	1:21070001-21080000	0.00307142	13640
1:18020001-18030000	1:20970001-20980000	0.00416848	16036
1:18510001-18520000	1:20940001-20950000	0.00160707	12190
1:18350001-18360000	1:19240001-19250000	0.00423409	117
1:20850001-20860000	1:20960001-20970000	0.00150926	3003
1:20270001-20280000	1:20270001-20280000	0.064021	18915
1:17730001-17740000	1:20800001-20810000	0.00235917	66820
1:20190001-20200000	1:20900001-20910000	0.00365021	1012
1:18700001-18710000	1:19110001-19120000	0.0133444	58064
1:18210001-18220000	1:19140001-19150000	0.0212518	91378
1:18300001-18310000	1:19860001-19870000	0.00834217	203
1:20710001-20720000	1:20860001-20870000	0.00161068	1443
1:20130001-20140000	1:20170001-20180000	0.0125821	61710
1:18480001-18490000	1:18760001-18770000	0.00250143	15600
1:17430001-17440000	1:19000001-19010000	0.00253393	79764
1:18910001-18920000	1:20290001-20300000	0.00195489	3924
1:18340001-18350000	1:18660001-18670000	0.00963173	650
1:17970001-17980000	1:19480001-19490000	0.0033754	139380
1:17560001-17570000	1:18520001-18530000	0.00358365	990
1:19710001-19720000	1:21110001-21120000	0.00200691	15876
1:19980001-19990000	1:20730001-20740000	0.00184016	5292
1:17990001-18000000	1:19510001-19520000	0.00268171	424
1:21030001-21040000	1:21050001-21060000	0.0242123	83200
1:19840001-19850000	1:20630001-20640000	0.00339293	2625
1:19350001-19360000	1:20660001-20670000	0.00231303	237048
1:17590001-17600000	1:18990001-19000000	0.00531378	15405
1:18570001-18580000	1:20520001-20530000	0.00153531	3075
1:17940001-17950000	1:17950001-17960000	0.0246938	2800
1:18050001-18060000	1:21090001-21100000	0.00200765	300
1:17450001-17460000	1:17980001-17990000	0.00484072	40228
1:19210001-19220000	1:20560001-20570000	0.0023097	19560
1:17700001-17710000	1:17990001-18000000	0.00202648	176
1:18430001-18440000	1:20420001-20430000	0.00150465	1395
1:17800001-17810000	1:17850001-17860000	0.0150031	14079
1:18850001-18860000	1:19410001-19420000	0.0081734	4212
1:17310001-17320000	1:17880001-17890000	0.00421249	191284
1:19000001-19010000	1:19480001-19490000	0.00190217	103020
1:18700001-18710000	1:21280001-21290000	0.00291989	145542
1:18710001-18720000	1:19310001-19320000	0.00764257	34775
1:17430001-17440000	1:21170001-21180000	0.00276532	139196
1:17920001-17930000	1:21140001-21150000	0.00167456	4503
1:20140001-20150000	1:20370001-20380000	0.00456919	31540
1:17600001-17610000	1:20900001-20910000	0.00219929	902
1:18920001-18930000	1:20490001-20500000	0.00136432	31119
1:20000001-20010000	1:20270001-20280000	0.00407054	106860
1:18990001-19000000	1:20930001-20940000	0.0027229	23463
1:18490001-18500000	1:19770001-19780000	0.00196292	9999
1:17980001-17990000	1:19680001-19690000	0.0116906	48149
1:18890001-18900000	1:19020001-19030000	0.00862453	120683
1:17480001-17490000	1:18000001-18010000	0.00554745	90850
1:19330001-19340000	1:21300001-21310000	0.00263135	16650
1:17840001-17850000	1:19580001-19590000	0.00467435	40080
1:18210001-18220000	1:18760001-18770000	0.0208624	55640
1:17430001-17440000	1:18620001-18630000	0.00334554	14076
1:17700001-17710000	1:19480001-19490000	0.00239651	22220
1:21040001-21050000	1:21250001-21260000	0.00357173	39336
1:19760001-19770000	1:20110001-20120000	0.00607212	5100
1:19360001-19370000	1:20860001-20870000	0.00238276	37407
1:20260001-20270000	1:21110001-21120000	0.00202522	58590
1:17920001-17930000	1:18690001-18700000	0.00290204	11970
1:19710001-19720000	1:20730001-20740000	0.00295517	9072
1:19250001-19260000	1:19740001-19750000	0.0016663	12152
1:19220001-19230000	1:20760001-20770000	0.00110381	496
1:19130001-19140000	1:20040001-20050000	0.00420613	23868
1:20120001-20130000	1:21010001-21020000	0.00173569	3382
1:18470001-18480000	1:19600001-19610000	0.00135682	680
1:18440001-18450000	1:20620001-20630000	0.00195066	48260
1:19500001-19510000	1:19650001-19660000	0.00931712	25425
1:18300001-18310000	1:20520001-20530000	0.00303949	861
1:18930001-18940000	1:20690001-20700000	0.00309382	2170
1:17480001-17490000	1:20170001-20180000	0.00397279	130350
1:17790001-17800000	1:20810001-20820000	0.00240291	44892
1:17730001-17740000	1:20080001-20090000	0.00316856	110240
1:18710001-18720000	1:18930001-18940000	0.0293482	6634
1:17760001-17770000	1:19060001-19070000	0.00268623	9288
1:17850001-17860000	1:19780001-19790000	0.00296317	9861
1:18130001-18140000	1:18240001-18250000	0.0109226	6555
1:18220001-18230000	1:18960001-18970000	0.0080604	12544
1:17350001-17360000	1:18100001-18110000	0.00272564	19926
1:17710001-17720000	1:19680001-19690000	0.00526805	144447
1:19770001-19780000	1:20310001-20320000	0.00276946	34542
1:17930001-17940000	1:18890001-18900000	0.0100879	49011
1:19750001-19760000	1:19910001-19920000	0.00149379	1070
1:19720001-19730000	1:20930001-20940000	0.00393027	6633
1:19630001-19640000	1:20210001-20220000	0.0024574	155213
1:19260001-19270000	1:19940001-19950000	0.00300448	5025
1:19170001-19180000	1:19220001-19230000	0.00224057	342
1:19140001-19150000	1:20240001-20250000	0.00240257	70882
1:18770001-18780000	1:21060001-21070000	0.00382715	23236
1:20130001-20140000	1:21210001-21220000	0.00380188	38148
1:19900001-19910000	1:21070001-21080000	0.00244769	39308
1:18060001-18070000	1:20810001-20820000	0.00255703	25284
1:18480001-18490000	1:19800001-19810000	0.00225812	17040
1:18360001-18370000	1:20100001-20110000	0.00858804	495
1:19030001-19040000	1:19120001-19130000	0.0147628	32631
1:19120001-19130000	1:19840001-19850000	0.0130145	3285
1:19000001-19010000	1:20140001-20150000	0.00285319	16932
1:18340001-18350000	1:19700001-19710000	0.0012726	324
1:18220001-18230000	1:20000001-20010000	0.00875907	53704
1:20260001-20270000	1:20730001-20740000	0.00285817	33480
1:18200001-18210000	1:19600001-19610000	0.00233551	480
1:20120001-20130000	1:20630001-20640000	0.00181932	3325
1:17980001-17990000	1:20340001-20350000	0.00303061	27857
1:18490001-18500000	1:20430001-20440000	0.00166922	7722
1:17930001-17940000	1:20960001-20970000	0.00229441	21483
1:18140001-18150000	1:18440001-18450000	0.00226457	2755
1:17470001-17480000	1:19970001-19980000	0.00210863	2035
1:17490001-17500000	1:21180001-21190000	0.00321017	9765
1:17350001-17360000	1:20270001-20280000	0.00272299	71955
1:17630001-17640000	1:19160001-19170000	0.00474249	14490
1:17720001-17730000	1:19880001-19890000	0.00444863	172920
1:18000001-18010000	1:18340001-18350000	0.00349425	460
1:19640001-19650000	1:20410001-20420000	0.00411241	64974
1:19180001-19190000	1:19420001-19430000	0.0020841	15799
1:17760001-17770000	1:18680001-18690000	0.00190963	21276
1:19910001-19920000	1:21270001-21280000	0.00301016	12519
1:17490001-17500000	1:18630001-18640000	0.00553099	3015
1:17350001-17360000	1:17720001-17730000	0.00593558	193356
1:19500001-19510000	1:20310001-20320000	0.00190442	38646
1:19010001-19020000	1:20340001-20350000	0.00293674	65730
1:18250001-18260000	1:21150001-21160000	0.00195828	12420
1:19040001-19050000	1:19320001-19330000	0.00981155	22295
1:18350001-18360000	1:19900001-19910000	0.00606679	951
1:17600001-17610000	1:17630001-17640000	0.00185374	10332
1:17470001-17480000	1:21010001-21020000	0.00351771	6586
1:20760001-20770000	1:20900001-20910000	0.00312796	2728
1:20270001-20280000	1:20930001-20940000	0.00258613	19305
1:20180001-20190000	1:20210001-20220000	0.00330003	102758
1:18500001-18510000	1:21060001-21070000	0.00243093	2669
1:20450001-20460000	1:21070001-21080000	0.00355677	26660
1:19190001-19200000	1:20050001-20060000	0.00186083	3990
1:18210001-18220000	1:19800001-19810000	0.00825069	60776
1:18770001-18780000	1:20680001-20690000	0.0026756	16280
1:20620001-20630000	1:20800001-20810000	0.00417119	130556
1:20130001-20140000	1:20830001-20840000	0.0025892	57035
1:20040001-20050000	1:20110001-20120000	0.0109082	28080
1:18630001-18640000	1:20580001-20590000	0.00463171	94470
1:18390001-18400000	1:19510001-19520000	0.00195918	424
1:17360001-17370000	1:20470001-20480000	0.00290113	105938
1:17850001-17860000	1:20440001-20450000	0.0024161	15960
1:18910001-18920000	1:19470001-19480000	0.00147363	4500
1:18500001-18510000	1:18510001-18520000	0.00319816	782
1:17710001-17720000	1:20340001-20350000	0.00246786	83571
1:17500001-17510000	1:19260001-19270000	0.00105297	315
1:19260001-19270000	1:20600001-20610000	0.00113289	90
1:18190001-18200000	1:18250001-18260000	0.00441709	720
1:17680001-17690000	1:18160001-18170000	0.0152851	5611
1:21080001-21090000	1:21190001-21200000	0.00532938	71154
1:17360001-17370000	1:17920001-17930000	0.00225284	18354
1:19510001-19520000	1:20510001-20520000	0.00253706	9116
1:19050001-19060000	1:19520001-19530000	0.00465912	1558
1:17930001-17940000	1:18070001-18080000	0.015259	15624
1:17630001-17640000	1:18780001-18790000	0.00345316	45234
1:17480001-17490000	1:21210001-21220000	0.00360791	80580
1:18120001-18130000	1:21250001-21260000	0.0043092	20592
1:20950001-20960000	1:21240001-21250000	0.00412773	81750
1:20460001-20470000	1:21270001-21280000	0.0032873	29016
1:19690001-19700000	1:20220001-20230000	0.00162218	1398
1:19540001-19550000	1:19590001-19600000	0.013634	77648
1:17340001-17350000	1:21110001-21120000	0.00304163	56133
1:18780001-18790000	1:20880001-20890000	0.00523706	38772
1:20050001-20060000	1:20310001-20320000	0.00216438	3420
1:17710001-17720000	1:17890001-17900000	0.0148433	15219
1:20320001-20330000	1:21170001-21180000	0.00213677	108224
1:19400001-19410000	1:19490001-19500000	0.0304363	11044
1:18970001-18980000	1:19050001-19060000	0.0114282	7448
1:19090001-19100000	1:19130001-19140000	0.0237804	6120
1:18670001-18680000	1:19760001-19770000	0.0120319	40290
1:18640001-18650000	1:20780001-20790000	0.0026974	23961
1:20000001-20010000	1:20930001-20940000	0.00312603	54252
1:18260001-18270000	1:18800001-18810000	0.00199633	9490
1:17860001-17870000	1:20640001-20650000	0.00457018	47077
1:18920001-18930000	1:19670001-19680000	0.00208654	29946
1:18500001-18510000	1:20680001-20690000	0.00146957	1870
1:17750001-17760000	1:19520001-19530000	0.00198469	738
1:18120001-18130000	1:18700001-18710000	0.0145502	29796
1:17720001-17730000	1:20540001-20550000	0.00304535	156676
1:19840001-19850000	1:19990001-20000000	0.013257	1320
1:19130001-19140000	1:20700001-20710000	0.00450006	6885
1:17690001-17700000	1:19170001-19180000	0.00504748	17784
1:17550001-17560000	1:18260001-18270000	0.00170624	13650
1:17640001-17650000	1:18980001-18990000	0.010942	91975
1:17390001-17400000	1:19880001-19890000	0.00345215	97680
1:19970001-19980000	1:20470001-20480000	0.00301456	18095
1:17410001-17420000	1:18160001-18170000	0.0091943	12152
1:17500001-17510000	1:18880001-18890000	0.00190211	1008
1:19830001-19840000	1:20370001-20380000	0.00328454	162640
1:19370001-19380000	1:19380001-19390000	0.0849583	78175
1:18560001-18570000	1:20260001-20270000	0.00121233	16120
1:18260001-18270000	1:20970001-20980000	0.00177627	27430
1:18680001-18690000	1:19960001-19970000	0.00512507	71708
1:17480001-17490000	1:20830001-20840000	0.0020231	120475
1:18900001-18910000	1:20990001-21000000	0.00261573	1254
1:18510001-18520000	1:20880001-20890000	0.00220438	4968
1:18910001-18920000	1:20130001-20140000	0.00158856	2244
1:18450001-18460000	1:19140001-19150000	0.00535121	23912
1:18540001-18550000	1:19860001-19870000	0.00167574	232
1:17670001-17680000	1:19000001-19010000	0.00887386	56100
1:17760001-17770000	1:19720001-19730000	0.00164057	3618
1:18130001-18140000	1:18900001-18910000	0.00284353	13110
1:17640001-17650000	1:20020001-20030000	0.00655205	42900
1:17730001-17740000	1:20740001-20750000	0.00195636	49660
1:20190001-20200000	1:20840001-20850000	0.00225618	9292
1:18700001-18710000	1:19050001-19060000	0.0124399	7258
1:18400001-18410000	1:19760001-19770000	0.00227459	6205
1:17620001-17630000	1:19620001-19630000	0.0082711	17649
1:19950001-19960000	1:21110001-21120000	0.00195348	15876
1:19460001-19470000	1:21140001-21150000	0.00158079	790
1:19140001-19150000	1:20900001-20910000	0.00578274	4697
1:17560001-17570000	1:18460001-18470000	0.00181693	7590
1:18680001-18690000	1:21000001-21010000	0.00249863	81952
1:19320001-19330000	1:21040001-21050000	0.00264447	36505
1:19980001-19990000	1:20670001-20680000	0.00144369	16366
1:17420001-17430000	1:18360001-18370000	0.00347725	1305
1:19000001-19010000	1:20800001-20810000	0.00299105	52428
1:19840001-19850000	1:20570001-20580000	0.00281903	7020
1:19380001-19390000	1:19580001-19590000	0.0199029	98530
1:17940001-17950000	1:17990001-18000000	0.00153626	1120
1:18180001-18190000	1:20450001-20460000	0.00564797	3655
1:19700001-19710000	1:20470001-20480000	0.00285317	53298
1:19240001-19250000	1:19480001-19490000	0.00153413	19695
1:18460001-18470000	1:19340001-19350000	0.00243554	44781
1:18430001-18440000	1:20360001-20370000	0.00181513	24615
1:18920001-18930000	1:20330001-20340000	0.00146316	4071
1:17670001-17680000	1:21170001-21180000	0.00355695	97900
1:17350001-17360000	1:20930001-20940000	0.0028099	36531
1:19100001-19110000	1:19380001-19390000	0.0142183	84665
1:17680001-17690000	1:19200001-19210000	0.00608028	6878
1:18320001-18330000	1:19240001-19250000	0.00155833	312
1:18410001-18420000	1:19960001-19970000	0.0023322	2548
1:17920001-17930000	1:21080001-21090000	0.00214883	10089
1:18900001-18910000	1:19930001-19940000	0.00654718	11514
1:17540001-17550000	1:19100001-19110000	0.00472726	14924
1:17630001-17640000	1:19820001-19830000	0.00193185	882
1:17510001-17520000	1:20120001-20130000	0.00362545	7980
1:17890001-17900000	1:21190001-21200000	0.00662816	22914
1:18590001-18600000	1:19670001-19680000	0.0141842	34720
1:17400001-17410000	1:19000001-19010000	0.00232086	108324
1:18990001-19000000	1:20870001-20880000	0.00304521	49770
1:19820001-19830000	1:21210001-21220000	0.00204904	1428
1:19330001-19340000	1:21240001-21250000	0.00243924	73575
1:18550001-18560000	1:21100001-21110000	0.00165459	3040
1:17920001-17930000	1:18530001-18540000	0.00149566	3192
1:19760001-19770000	1:20050001-20060000	0.0029287	850
1:19460001-19470000	1:20760001-20770000	0.00139536	2480
1:18410001-18420000	1:21000001-21010000	0.00143148	2912
1:20750001-20760000	1:21020001-21030000	0.0043075	92001
1:19190001-19200000	1:20710001-20720000	0.00290115	5187
1:18680001-18690000	1:20620001-20630000	0.00285704	200152
1:18160001-18170000	1:21190001-21200000	0.00738506	12462
1:19710001-19720000	1:20670001-20680000	0.00203432	28056
1:19250001-19260000	1:19680001-19690000	0.00553148	67084
1:18960001-18970000	1:19510001-19520000	0.00891136	13568
1:18930001-18940000	1:20530001-20540000	0.00460586	11904
1:18050001-18060000	1:20550001-20560000	0.00373619	3696
1:17420001-17430000	1:17980001-17990000	0.00406668	23229
1:18020001-18030000	1:21090001-21100000	0.00319873	950
1:18470001-18480000	1:19540001-19550000	0.00207702	15640
1:19110001-19120000	1:19580001-19590000	0.0110677	50768
1:19890001-19900000	1:20380001-20390000	0.00307265	107822
1:17540001-17550000	1:21270001-21280000	0.0024459	6084
1:20250001-20260000	1:20470001-20480000	0.00354174	38822
1:17550001-17560000	1:19300001-19310000	0.00293839	10080
1:17400001-17410000	1:21170001-21180000	0.00241148	189036
1:20110001-20120000	1:20370001-20380000	0.00399063	22800
1:18460001-18470000	1:18960001-18970000	0.00175014	8832
1:17410001-17420000	1:19200001-19210000	0.00320744	14896
1:17500001-17510000	1:19920001-19930000	0.00203389	105
1:17970001-17980000	1:20080001-20090000	0.00403011	117024
1:18190001-18200000	1:18910001-18920000	0.00432476	240
1:17980001-17990000	1:18110001-18120000	0.011923	15130
1:18130001-18140000	1:18180001-18190000	0.00694861	1955
1:18710001-18720000	1:18870001-18880000	0.00214574	2675
1:17540001-17550000	1:18720001-18730000	0.00858554	2756
1:17990001-18000000	1:20110001-20120000	0.000822143	240
1:17840001-17850000	1:18010001-18020000	0.0156827	21720
1:17930001-17940000	1:18730001-18740000	0.0185872	46221
1:19470001-19480000	1:20960001-20970000	0.0016676	86625
1:19380001-19390000	1:20240001-20250000	0.0025358	48970
1:20370001-20380000	1:21210001-21220000	0.00328535	77520
1:17480001-17490000	1:17560001-17570000	0.0116862	43450
1:19630001-19640000	1:20150001-20160000	0.00410253	49622
1:19330001-19340000	1:20860001-20870000	0.00246782	24975
1:20230001-20240000	1:21110001-21120000	0.00273129	23814
1:18460001-18470000	1:20000001-20010000	0.00223372	37812
1:18550001-18560000	1:20720001-20730000	0.00193059	29920
1:18030001-18040000	1:21290001-21300000	0.00161769	2632
1:18970001-18980000	1:19710001-19720000	0.0117915	32928
1:18060001-18070000	1:20750001-20760000	0.00290546	26754
1:17340001-17350000	1:17460001-17470000	0.00711378	21978
1:19610001-19620000	1:19750001-19760000	0.00138676	180
1:19030001-19040000	1:19060001-19070000	0.0330281	25628
1:19120001-19130000	1:19780001-19790000	0.00723247	37887
1:18410001-18420000	1:20620001-20630000	0.00264062	7112
1:20260001-20270000	1:20670001-20680000	0.00233074	103540
1:19090001-19100000	1:19890001-19900000	0.0107214	40560
1:18200001-18210000	1:19540001-19550000	0.00779061	11040
1:20120001-20130000	1:20570001-20580000	0.00154537	8892
1:18900001-18910000	1:20690001-20700000	0.00245069	3990
1:18380001-18390000	1:18440001-18450000	0.00143053	5225
1:17980001-17990000	1:20280001-20290000	0.0045138	45746
1:17870001-17880000	1:19160001-19170000	0.0109243	55315
1:17960001-17970000	1:19880001-19890000	0.00866381	58740
1:17840001-17850000	1:20180001-20190000	0.00412859	45840
1:17690001-17700000	1:19830001-19840000	0.00277001	44512
1:17460001-17470000	1:18200001-18210000	0.00478273	4440
1:17550001-17560000	1:18920001-18930000	0.0018442	14490
1:17820001-17830000	1:19780001-19790000	0.00535579	29929
1:17700001-17710000	1:20080001-20090000	0.00299447	18656
1:19880001-19890000	1:20410001-20420000	0.00463067	72930
1:17710001-17720000	1:18110001-18120000	0.00373568	45390
1:19390001-19400000	1:21250001-21260000	0.00217906	62832
1:19250001-19260000	1:20340001-20350000	0.00232055	38812
1:17470001-17480000	1:19990001-20000000	0.0027801	3256
1:18880001-18890000	1:21160001-21170000	0.00209705	5136
1:17900001-17910000	1:18890001-18900000	0.0153254	159681
1:17350001-17360000	1:17660001-17670000	0.0040906	103320
1:18470001-18480000	1:20200001-20210000	0.00181683	24990
1:18560001-18570000	1:20920001-20930000	0.0018379	9256
1:19620001-19630000	1:19950001-19960000	0.00717953	3108
1:19200001-19210000	1:20960001-20970000	0.00254123	8778
1:18740001-18750000	1:21060001-21070000	0.00434018	79285
1:19110001-19120000	1:20240001-20250000	0.00320457	25232
1:20100001-20110000	1:21210001-21220000	0.00408739	20196
1:18450001-18460000	1:19800001-19810000	0.00376001	15904
1:20760001-20770000	1:20840001-20850000	0.00475884	25048
1:18700001-18710000	1:19710001-19720000	0.0145506	32088
1:20620001-20630000	1:20740001-20750000	0.00455339	97028
1:20040001-20050000	1:20050001-20060000	0.00379842	4680
1:18910001-18920000	1:20890001-20900000	0.00156747	5160
1:17850001-17860000	1:20380001-20390000	0.00201695	18183
1:18390001-18400000	1:19450001-19460000	0.0141955	32
1:17880001-17890000	1:19360001-19370000	0.005641	130756
1:18250001-18260000	1:18540001-18550000	0.00161279	288
1:17470001-17480000	1:18400001-18410000	0.00179834	2701
1:17710001-17720000	1:20280001-20290000	0.0025159	137238
1:17740001-17750000	1:19260001-19270000	0.00249378	3870
1:17830001-17840000	1:19980001-19990000	0.000892988	98
1:18110001-18120000	1:18440001-18450000	0.00210429	16150
1:17330001-17340000	1:18300001-18310000	0.00837103	3255
1:17600001-17610000	1:19160001-19170000	0.00242647	9430
1:19750001-19760000	1:20510001-20520000	0.00172354	860
1:19260001-19270000	1:20540001-20550000	0.00263006	4485
1:18480001-18490000	1:20400001-20410000	0.00199608	17220
1:19610001-19620000	1:20410001-20420000	0.0021032	3978
1:19150001-19160000	1:19420001-19430000	0.00271898	11137
1:18750001-18760000	1:21260001-21270000	0.00274842	31900
1:19120001-19130000	1:20440001-20450000	0.00478716	61320
1:17710001-17720000	1:17730001-17740000	0.0225636	69420
1:17970001-17980000	1:21120001-21130000	0.00244991	16284
1:18610001-18620000	1:21160001-21170000	0.00146301	12091
1:20950001-20960000	1:21180001-21190000	0.00498976	162750
1:19390001-19400000	1:20870001-20880000	0.00236417	49980
1:17340001-17350000	1:21050001-21060000	0.00368818	193050
1:18320001-18330000	1:19900001-19910000	0.00131998	2536
1:17830001-17840000	1:21020001-21030000	0.00158931	674
1:18200001-18210000	1:20200001-20210000	0.00760515	17640
1:20290001-20300000	1:21120001-21130000	0.004205	19293
1:20240001-20250000	1:20930001-20940000	0.0040851	16434
1:20810001-20820000	1:21080001-21090000	0.00569863	45666
1:18260001-18270000	1:18740001-18750000	0.00271578	32825
1:18890001-18900000	1:19620001-19630000	0.0150732	19499
1:17470001-17480000	1:20570001-20580000	0.0024488	17316
1:17480001-17490000	1:18600001-18610000	0.00211077	13430
1:17750001-17760000	1:19460001-19470000	0.00286539	90
1:18120001-18130000	1:18640001-18650000	0.0101343	12714
1:18610001-18620000	1:18610001-18620000	0.0116165	6328
1:17330001-17340000	1:20470001-20480000	0.00269137	152985
1:17340001-17350000	1:18500001-18510000	0.00197393	5049
1:17690001-17700000	1:20590001-20600000	0.00315248	11856
1:17610001-17620000	1:19360001-19370000	0.00302682	65378
1:19760001-19770000	1:20710001-20720000	0.00163375	1105
1:19180001-19190000	1:20020001-20030000	0.00544586	56364
1:17880001-17890000	1:18980001-18990000	0.0125616	109804
1:19620001-19630000	1:20610001-20620000	0.00369073	19647
1:19160001-19170000	1:19620001-19630000	0.0203939	4255
1:19130001-19140000	1:20640001-20650000	0.00520099	13413
1:19670001-19680000	1:20090001-20100000	0.00674016	163184
1:17720001-17730000	1:17930001-17940000	0.0115262	48732
1:17900001-17910000	1:18070001-18080000	0.016788	50904
1:19020001-19030000	1:19520001-19530000	0.00362027	18778
1:19650001-19660000	1:19690001-19700000	0.0198504	52425
1:17840001-17850000	1:21220001-21230000	0.00232089	26280
1:18210001-18220000	1:20400001-20410000	0.00520554	61418
1:17450001-17460000	1:21210001-21220000	0.00353993	92208
1:20160001-20170000	1:20410001-20420000	0.00412538	86853
1:20820001-20830000	1:21280001-21290000	0.00412926	252984
1:19510001-19520000	1:19590001-19600000	0.0105254	44732
1:19290001-19300000	1:19950001-19960000	0.00202379	5712
1:18750001-18760000	1:20880001-20890000	0.00430182	23760
1:17700001-17710000	1:21120001-21130000	0.00227553	2596
1:18760001-18770000	1:18910001-18920000	0.00328208	3120
1:17480001-17490000	1:20770001-20780000	0.00160063	9480
1:18390001-18400000	1:20110001-20120000	0.00738291	240
1:17880001-17890000	1:20020001-20030000	0.00621538	51216
1:17970001-17980000	1:20740001-20750000	0.00253028	52716
1:18180001-18190000	1:18220001-18230000	0.053288	1666
1:18450001-18460000	1:19080001-19090000	0.00218709	1624
1:18940001-18950000	1:19050001-19060000	0.00189497	1501
1:18910001-18920000	1:20070001-20080000	0.00223622	84
1:18620001-18630000	1:18810001-18820000	0.015037	18036
1:17340001-17350000	1:20670001-20680000	0.00200432	99198
1:17830001-17840000	1:20640001-20650000	0.00708988	526
1:18040001-18050000	1:18120001-18130000	0.0215669	13494
1:17620001-17630000	1:19560001-19570000	0.00426852	58194
1:19380001-19390000	1:20900001-20910000	0.00342475	3245
1:19950001-19960000	1:21050001-21060000	0.00303837	54600
1:19070001-19080000	1:21070001-21080000	0.00252261	23312
1:19630001-19640000	1:20810001-20820000	0.00271731	148866
1:19170001-19180000	1:19820001-19830000	0.00273512	1197
1:19080001-19090000	1:19100001-19110000	0.0212667	8323
1:17390001-17400000	1:18310001-18320000	0.00117813	296
1:19030001-19040000	1:19720001-19730000	0.00654623	9983
1:19660001-19670000	1:19890001-19900000	0.0115007	143650
1:19290001-19300000	1:21090001-21100000	0.0017877	1700
1:20170001-20180000	1:20610001-20620000	0.00471787	175230
1:19400001-19410000	1:20090001-20100000	0.00499379	94376
1:18670001-18680000	1:20360001-20370000	0.00341135	259278
1:20030001-20040000	1:20510001-20520000	0.00340944	21242
1:17980001-17990000	1:20940001-20950000	0.00590394	23585
1:18530001-18540000	1:20260001-20270000	0.0014428	17360
1:18620001-18630000	1:20980001-20990000	0.00479124	10296
1:17350001-17360000	1:20870001-20880000	0.00272442	77490
1:17870001-17880000	1:19820001-19830000	0.00681248	3367
1:17890001-17900000	1:21030001-21040000	0.00325315	7296
1:17750001-17760000	1:20120001-20130000	0.00147779	171
1:17840001-17850000	1:20840001-20850000	0.00206015	12120
1:18810001-18820000	1:19150001-19160000	0.0100361	150801
1:18900001-18910000	1:19870001-19880000	0.0073198	26106
1:18320001-18330000	1:19180001-19190000	0.00155542	3416
1:17610001-17620000	1:20020001-20030000	0.00282797	25608
1:17700001-17710000	1:20740001-20750000	0.00232778	8404
1:19960001-19970000	1:21250001-21260000	0.00317464	48048
1:19570001-19580000	1:21240001-21250000	0.00207326	101370
1:19080001-19090000	1:21270001-21280000	0.0027699	3393
1:17670001-17680000	1:18560001-18570000	0.00212213	14300
1:17390001-17400000	1:20480001-20490000	0.00294057	33152
1:19820001-19830000	1:21150001-21160000	0.00461495	2415
